,동별,마트개수
0,강일동,0
1,고덕동,0
2,공릉동,0
3,길동,0
4,길음동,2
5,돈암동,0
6,동선동1가,0
7,동선동2가,0
8,동선동3가,0
9,동선동4가,0
10,동선동5가,0
11,동소문동1가,0
12,동소문동2가,0
13,동소문동3가,0
14,동소문동4가,0
15,동소문동5가,0
16,동소문동6가,0
17,동소문동7가,0
18,둔촌동,0
19,명일동,1
20,보문동1가,0
21,보문동2가,0
22,보문동3가,0
23,보문동4가,0
24,보문동5가,0
25,보문동6가,0
26,보문동7가,0
27,삼선동1가,0
28,삼선동2가,0
29,삼선동3가,0
30,삼선동4가,0
31,삼선동5가,0
32,상계동,0
33,상월곡동,1
34,상일동,0
35,석관동,0
36,성내동,0
37,성북동,0
38,성북동1가,0
39,안암동1가,0
40,안암동2가,0
41,안암동3가,0
42,안암동4가,0
43,안암동5가,0
44,암사동,0
45,월계동,0
46,장위동,0
47,정릉동,0
48,종암동,0
49,중계동,2
50,천호동,2
51,청량리동,"df오류, df[df['법정동명'] == '청량리동'][['자치구명', '법정동명']].drop_duplicates() 실행해보면 자치구명이 '성북구'인데 법정동명이 '청량리동'으로 되어있음. 청량리동의 기존 자치구명은 동대문구이다."
52,하계동,0
53,하월곡동,0
